NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,EXIT_X,EXIT_Y,time,action
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,27.0,27.0,3.0,27.0,7.0,23.0,0.1007245,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,27.0,27.0,3.0,27.0,7.0,23.0,0.2032858,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,27.0,27.0,3.0,27.0,7.0,23.0,0.3047621,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,27.0,27.0,3.0,27.0,7.0,23.0,0.400854,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,27.0,27.0,3.0,27.0,7.0,23.0,0.5028886,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,27.0,27.0,3.0,27.0,7.0,23.0,0.6002101,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,27.0,27.0,3.0,27.0,7.0,23.0,0.7022692,0.0
0,1.0,2.0,1.0,0.0,0.5075549,0.3085001,8.307555,27.0,27.0,3.0,27.0,7.0,23.0,0.800739,1.0
0,1.0,2.0,2.0,0.0,1.007554,0.3085001,0.3085001,27.0,27.0,3.0,27.0,7.0,23.0,0.9031859,1.0
0,1.0,2.0,2.0,0.0,1.507554,0.3085001,0.3085001,27.0,27.0,3.0,27.0,7.0,23.0,1.002189,1.0
0,1.0,2.0,2.0,0.0,2.007554,0.3085001,0.3085001,27.0,27.0,3.0,27.0,7.0,23.0,1.11012,1.0
0,1.0,2.0,2.0,0.0,2.507553,0.3085001,0.3085001,27.0,27.0,3.0,27.0,7.0,23.0,1.203384,1.0
0,1.0,2.0,2.0,0.0,3.007552,0.3085001,0.3085001,27.0,27.0,3.0,27.0,7.0,23.0,1.300271,1.0
0,1.0,2.0,2.0,0.0,3.507552,0.3085001,0.3085001,27.0,27.0,3.0,27.0,7.0,23.0,1.406453,1.0
0,1.0,2.0,2.0,0.0,4.007552,8.3085,0.3085001,27.0,27.0,3.0,27.0,7.0,23.0,1.505974,1.0
0,1.0,2.0,2.0,0.0,4.507551,8.3085,0.3085001,27.0,27.0,3.0,27.0,7.0,23.0,1.600166,1.0
1,1.0,2.0,1.0,19.60756,5.00755,0.3085001,0.3075551,27.0,27.0,3.0,27.0,7.0,23.0,1.708003,1.0
1,1.0,2.0,1.0,19.10756,5.507551,0.3085001,0.3075551,27.0,27.0,3.0,27.0,7.0,23.0,1.803665,1.0
1,1.0,2.0,1.0,18.60756,6.007553,0.3085001,0.3075551,27.0,27.0,3.0,27.0,7.0,23.0,1.900363,1.0
1,1.0,2.0,1.0,18.10756,6.507555,0.3085001,0.3075551,27.0,27.0,3.0,27.0,7.0,23.0,2.000123,1.0
1,1.0,2.0,1.0,17.60755,7.007556,0.3085001,0.3075551,27.3,27.0,3.5,27.0,7.0,23.0,2.100751,1.0
1,1.0,2.0,1.0,17.10755,7.507559,0.3085001,0.3075551,27.3,27.0,3.999999,27.0,7.0,23.0,2.202676,1.0
1,1.0,2.0,2.0,16.60755,8.007561,0.3085001,0.3085001,27.3,27.0,4.499999,27.0,7.0,23.0,2.304685,1.0
1,1.0,2.0,2.0,16.10755,8.507563,0.3085001,0.3085001,27.3,27.0,4.999998,27.0,7.0,23.0,2.406271,1.0
1,1.0,2.0,2.0,15.60755,9.007565,0.3085001,0.3085001,27.3,27.0,5.499998,27.0,7.0,23.0,2.501659,1.0
1,1.0,2.0,2.0,15.10754,9.507566,0.3085001,0.3085001,27.3,27.0,5.999997,27.0,7.0,23.0,2.60373,1.0
1,1.0,2.0,1.0,14.60754,10.00757,0.3085001,8.307554,27.3,27.0,6.499997,27.0,7.0,23.0,2.700098,1.0
1,1.0,2.0,1.0,14.10754,10.50757,0.3085001,8.307554,27.3,27.0,6.999996,27.0,7.0,23.0,2.802488,1.0
1,1.0,2.0,2.0,13.60754,11.00757,0.3085001,0.3085001,27.3,27.0,7.499996,27.0,7.0,23.0,2.901526,1.0
5,1.0,2.0,2.0,11.61198,11.50757,0.3085001,0.3085001,27.3,27.0,7.999995,27.0,7.0,23.0,3.005148,1.0
5,1.0,2.0,2.0,11.11198,12.00758,0.3085001,0.3085001,27.3,27.0,8.499997,27.0,7.0,23.0,3.101871,1.0
5,1.0,2.0,2.0,10.61198,12.50758,0.3085001,0.3085001,27.3,27.0,8.999999,27.0,7.0,23.0,3.200091,1.0
1,1.0,2.0,2.0,11.60753,13.00758,0.3085001,0.3085001,27.3,27.0,9.500001,27.0,7.0,23.0,3.302443,1.0
6,1.0,2.0,2.0,9.457725,13.50758,0.3085001,0.3085001,27.3,27.0,10.0,27.0,7.0,23.0,3.400954,1.0
6,1.0,1.0,1.0,8.957723,14.00758,2.307555,8.307555,27.3,27.0,10.5,27.0,7.0,23.0,3.501126,1.0
0,1.0,1.0,1.0,0.0,14.50758,2.307555,8.307555,27.3,27.0,11.00001,27.0,7.0,23.0,3.604703,1.0
0,1.0,2.0,2.0,0.0,15.00759,0.3085001,0.3085001,27.3,27.0,11.50001,27.0,7.0,23.0,3.701897,1.0
0,1.0,2.0,2.0,0.0,15.50759,0.3085001,0.3085001,27.3,27.0,12.00001,27.0,7.0,23.0,3.803127,1.0
0,1.0,2.0,2.0,0.0,16.00759,0.3085001,0.3085001,27.3,27.0,12.50001,27.0,7.0,23.0,3.903602,1.0
0,1.0,2.0,2.0,0.0,16.50759,0.3085001,0.3085001,27.3,27.0,13.00001,27.0,7.0,23.0,4.003242,1.0
0,1.0,2.0,2.0,0.0,17.0076,0.3085001,0.3085001,27.3,27.0,13.50002,27.0,7.0,23.0,4.103505,1.0
0,1.0,2.0,2.0,0.0,17.5076,0.3085001,0.3085001,27.3,27.0,14.00002,27.0,7.0,23.0,4.200851,1.0
0,1.0,2.0,2.0,0.0,18.0076,0.3085001,0.3085001,27.3,27.0,14.50002,27.0,7.0,23.0,4.303686,1.0
0,1.0,2.0,2.0,0.0,18.5076,0.3085001,0.3085001,27.3,27.0,15.00002,27.0,7.0,23.0,4.402196,1.0
0,1.0,2.0,2.0,0.0,19.0076,0.3085001,0.3085001,27.3,27.0,15.50002,27.0,7.0,23.0,4.501675,1.0
1,1.0,2.0,2.0,5.107506,19.5076,0.3085001,0.3085001,27.3,27.0,16.00002,27.0,7.0,23.0,4.602984,1.0
1,0.0,2.0,2.0,4.607504,0.0,0.3085001,0.3085001,27.3,27.0,16.50003,27.0,7.0,23.0,4.700254,1.0
1,0.0,2.0,2.0,4.107503,0.0,0.3085001,0.3085001,27.3,27.0,17.00003,27.0,7.0,23.0,4.802018,1.0
1,0.0,2.0,2.0,3.607501,0.0,0.3085001,0.3085001,27.3,27.0,17.50003,27.0,7.0,23.0,4.900779,1.0
1,0.0,2.0,2.0,3.107499,0.0,0.3085001,0.3085001,27.3,27.0,18.00003,27.0,7.0,23.0,5.003358,1.0
1,0.0,2.0,2.0,2.607497,0.0,0.3085001,0.3085001,27.3,27.0,18.50003,27.0,7.0,23.0,5.100827,1.0
1,0.0,2.0,2.0,2.107495,0.0,0.3085001,0.3085001,27.3,27.0,19.00004,27.0,7.0,23.0,5.200176,1.0
1,0.0,2.0,2.0,1.607493,0.0,0.3085001,0.3085001,27.3,27.0,19.50004,27.0,7.0,23.0,5.302797,1.0
1,0.0,2.0,2.0,1.107491,0.0,0.3085001,0.3085001,27.3,27.0,20.00004,27.0,7.0,23.0,5.402562,1.0
1,0.0,6.0,1.0,0.6074894,0.0,8.157792,8.307555,27.3,27.0,20.50004,27.0,7.0,23.0,5.500087,1.0
1,2.0,6.0,1.0,0.6074894,0.008565661,8.257793,8.707557,27.3,27.0,21.00004,27.0,7.0,23.0,5.604031,3.0
1,2.0,6.0,1.0,0.6074894,0.008565661,8.257793,9.207559,27.3,27.0,21.50005,27.0,7.0,23.0,5.703688,3.0
1,2.0,6.0,1.0,0.6074894,0.008565661,8.257793,9.707561,27.3,27.0,22.00005,27.0,7.0,23.0,5.800414,3.0
1,2.0,6.0,1.0,0.6074895,0.008565661,8.257793,10.20756,27.3,27.0,22.50005,27.0,7.0,23.0,5.904195,3.0
1,2.0,6.0,1.0,0.6074894,0.008565661,8.257793,10.70756,27.3,27.0,23.00005,27.0,7.0,23.0,6.003915,3.0
1,2.0,6.0,1.0,0.6074894,0.008565661,7.257788,11.20757,27.3,27.0,22.50005,27.0,7.0,23.0,6.10324,3.0
1,2.0,6.0,1.0,0.6074894,0.008565661,6.257784,11.70757,27.3,27.0,22.00005,27.0,7.0,23.0,6.204278,3.0
1,1.0,6.0,1.0,0.6074895,4.00762,5.257781,12.20757,100.0,100.0,21.50005,27.0,7.0,23.0,6.301749,3.0
1,2.0,6.0,1.0,0.6074894,0.008565661,4.257776,12.70757,100.0,100.0,21.00004,27.0,7.0,23.0,6.400463,3.0
1,2.0,0.0,1.0,0.6074894,0.008565661,0.0,13.20757,100.0,100.0,20.50004,27.0,7.0,23.0,6.502251,3.0
1,2.0,6.0,1.0,0.6074894,0.008565661,2.25777,13.70758,100.0,100.0,20.00004,27.0,7.0,23.0,6.602228,3.0
1,2.0,6.0,1.0,0.6074895,0.008565661,1.257766,14.20758,100.0,100.0,19.50004,27.0,7.0,23.0,6.701894,3.0
1,2.0,6.0,1.0,0.6074894,0.008565661,0.2577619,14.70758,100.0,100.0,19.00004,27.0,7.0,23.0,6.802778,3.0
1,2.0,1.0,1.0,0.6074894,0.008565661,9.407529,15.20758,100.0,100.0,18.50003,27.0,7.0,23.0,6.904672,3.0
1,2.0,1.0,1.0,0.6074894,0.008565661,8.907527,15.70758,100.0,100.0,18.00003,27.0,7.0,23.0,7.001613,3.0
1,0.0,1.0,6.0,0.6074894,0.0,8.407524,0.05774972,100.0,100.0,17.50003,27.0,7.0,23.0,7.101011,3.0
1,2.0,1.0,6.0,0.6074894,0.008565661,7.907523,1.057754,100.0,100.0,17.00003,27.0,7.0,23.0,7.201641,3.0
1,2.0,1.0,6.0,0.6074894,0.008565661,7.707522,1.757756,100.0,100.0,16.50003,27.0,7.0,23.0,7.30276,4.0
1,0.0,1.0,6.0,0.6074894,0.0,8.207524,1.757756,100.0,100.0,16.00002,27.0,7.0,23.0,7.400598,4.0
1,2.0,1.0,6.0,0.6074894,0.008565661,8.707526,1.757756,100.0,100.0,15.50002,27.0,7.0,23.0,7.500147,4.0
1,2.0,1.0,0.0,0.6074894,0.008565661,9.207528,0.0,100.0,100.0,15.00002,27.0,7.0,23.0,7.603437,4.0
1,2.0,1.0,0.0,0.6074894,0.008565661,9.70753,0.0,100.0,100.0,14.50002,27.0,7.0,23.0,7.701964,4.0
1,2.0,1.0,5.0,0.6074895,0.008565661,10.20753,3.888498,100.0,100.0,100.0,100.0,7.0,23.0,7.800184,4.0
1,2.0,1.0,5.0,0.6074894,0.008565661,10.70753,4.188495,100.0,100.0,100.0,100.0,7.0,23.0,7.903956,4.0
1,2.0,1.0,5.0,0.6074894,0.008565661,11.20753,4.488492,100.0,100.0,100.0,100.0,7.0,23.0,8.002343,4.0
1,2.0,1.0,5.0,0.6074894,0.008565661,11.70754,4.78849,100.0,100.0,100.0,100.0,7.0,23.0,8.102185,4.0
1,1.0,1.0,5.0,0.6074895,4.00762,12.20754,5.088487,100.0,100.0,100.0,100.0,7.0,23.0,8.200301,4.0
1,2.0,1.0,5.0,0.6074894,0.008565661,12.70754,5.388484,100.0,100.0,100.0,100.0,7.0,23.0,8.301455,4.0
1,2.0,1.0,5.0,0.6074894,0.008565661,13.20754,5.688482,100.0,100.0,100.0,100.0,7.0,23.0,8.400088,4.0
1,2.0,1.0,5.0,0.6074894,0.008565661,13.70755,5.98848,100.0,100.0,100.0,100.0,7.0,23.0,8.501563,4.0
1,2.0,1.0,5.0,0.6074895,0.008565661,14.20755,6.288476,100.0,100.0,100.0,100.0,7.0,23.0,8.602485,4.0
1,2.0,1.0,5.0,0.6074894,0.008565661,14.70755,6.588474,100.0,100.0,100.0,100.0,7.0,23.0,8.700537,4.0
1,2.0,1.0,5.0,0.6074894,0.008565661,15.20755,6.888471,100.0,100.0,100.0,100.0,7.0,23.0,8.803228,4.0
1,2.0,1.0,5.0,0.6074894,0.008565661,15.70755,7.188469,100.0,100.0,100.0,100.0,7.0,23.0,8.902368,4.0
1,0.0,1.0,5.0,0.6074894,0.0,16.20755,7.488466,100.0,100.0,100.0,100.0,7.0,23.0,9.003463,4.0
1,2.0,1.0,5.0,0.6074894,0.008565661,16.70756,7.788464,100.0,100.0,100.0,100.0,7.0,23.0,9.103523,4.0
1,2.0,1.0,1.0,0.6074894,0.008565661,17.20756,7.407551,100.0,100.0,100.0,100.0,7.0,23.0,9.200746,4.0
1,2.0,1.0,1.0,0.6074894,0.008565661,17.70756,6.907549,100.0,100.0,100.0,100.0,7.0,23.0,9.30287,4.0
1,2.0,1.0,1.0,0.6074895,0.008565661,18.20756,6.407548,100.0,100.0,100.0,100.0,7.0,23.0,9.402409,4.0
1,2.0,1.0,1.0,0.6074894,0.008565661,18.70757,5.907546,100.0,100.0,100.0,100.0,7.0,23.0,9.502667,4.0
1,2.0,1.0,1.0,0.6074894,0.008565661,19.20757,5.407544,100.0,100.0,100.0,100.0,7.0,23.0,9.602199,4.0
1,2.0,1.0,1.0,0.6074894,0.008565661,19.70757,4.907544,100.0,100.0,100.0,100.0,7.0,23.0,9.703673,4.0
1,2.0,0.0,1.0,0.6074894,10.00857,0.0,4.407544,100.0,100.0,100.0,100.0,7.0,23.0,9.803424,4.0
1,2.0,2.0,2.0,1.007491,9.608564,0.3085101,0.30849,100.0,100.0,100.0,100.0,7.0,23.0,9.903395,2.0
1,2.0,2.0,2.0,1.507493,9.108562,0.3085101,0.30849,100.0,100.0,100.0,100.0,7.0,23.0,10.0017,2.0
1,2.0,2.0,2.0,2.007495,8.608561,0.3085101,0.30849,100.0,100.0,100.0,100.0,7.0,23.0,10.10308,2.0
1,2.0,2.0,2.0,2.507497,8.108559,0.3085101,0.30849,100.0,100.0,100.0,100.0,7.0,23.0,10.20334,2.0
1,2.0,2.0,2.0,3.007499,7.608557,0.3085101,0.30849,100.0,100.0,100.0,100.0,7.0,23.0,10.30405,2.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,27.0,27.0,3.0,27.0,11.0,23.0,0.1018794,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,27.0,27.0,3.0,27.0,11.0,23.0,0.2002282,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,27.0,27.0,3.0,27.0,11.0,23.0,0.3000875,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,27.0,27.0,3.0,27.0,11.0,23.0,0.4008262,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,27.0,27.0,3.0,27.0,11.0,23.0,0.5009224,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,27.0,27.0,3.0,27.0,11.0,23.0,0.6017449,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,27.0,27.0,3.0,27.0,11.0,23.0,0.7013776,0.0
0,1.0,2.0,2.0,0.0,0.7075546,0.3085001,0.3085001,27.0,27.0,3.0,27.0,11.0,23.0,0.8016466,1.0
0,1.0,2.0,2.0,0.0,1.207554,0.3085001,0.3085001,27.0,27.0,3.0,27.0,11.0,23.0,0.9013284,1.0
0,1.0,2.0,2.0,0.0,1.707554,0.3085001,0.3085001,27.0,27.0,3.0,27.0,11.0,23.0,1.001096,1.0
0,1.0,2.0,2.0,0.0,2.207553,0.3085001,0.3085001,27.0,27.0,3.0,27.0,11.0,23.0,1.101909,1.0
0,1.0,2.0,2.0,0.0,2.707553,0.3085001,0.3085001,27.0,27.0,3.0,27.0,11.0,23.0,1.202646,1.0
0,1.0,2.0,2.0,0.0,3.207552,0.3085001,0.3085001,27.0,27.0,3.0,27.0,11.0,23.0,1.303583,1.0
0,1.0,2.0,2.0,0.0,3.707552,0.3085001,0.3085001,27.0,27.0,3.0,27.0,11.0,23.0,1.403117,1.0
0,1.0,2.0,2.0,0.0,4.207551,8.3085,0.3085001,27.0,27.0,3.0,27.0,11.0,23.0,1.501031,1.0
1,1.0,2.0,1.0,19.90756,4.707551,0.3085001,0.3075551,27.0,27.0,3.0,27.0,11.0,23.0,1.602351,1.0
1,1.0,2.0,1.0,19.40756,5.207551,0.3085001,0.3075551,27.0,27.0,3.0,27.0,11.0,23.0,1.702362,1.0
1,1.0,2.0,1.0,18.90756,5.707551,0.3085001,0.3075551,27.0,27.0,3.0,27.0,11.0,23.0,1.800543,1.0
1,1.0,2.0,1.0,18.40756,6.207554,0.3085001,0.3075551,27.0,27.0,3.0,27.0,11.0,23.0,1.90191,1.0
1,1.0,2.0,1.0,17.90755,6.707556,0.3085001,0.3075551,27.0,27.0,3.0,27.0,11.0,23.0,2.003941,1.0
1,1.0,2.0,1.0,17.40755,7.207557,0.3085001,0.3075551,27.0,27.3,3.0,26.5,11.0,23.0,2.103807,1.0
1,1.0,2.0,1.0,16.90755,7.70756,0.3085001,0.3075551,27.0,27.3,3.0,26.0,11.0,23.0,2.203915,1.0
1,1.0,2.0,2.0,16.40755,8.207561,0.3085001,0.3085001,27.0,27.3,3.0,25.49999,11.0,23.0,2.300912,1.0
1,1.0,2.0,2.0,15.90755,8.707563,0.3085,0.3085001,27.0,27.3,3.0,24.99999,11.0,23.0,2.404157,1.0
1,1.0,2.0,2.0,15.40755,9.207565,0.3085001,0.3085001,27.0,27.3,3.0,24.49999,11.0,23.0,2.50192,1.0
1,1.0,2.0,2.0,14.90754,9.707567,0.3085001,0.3085001,27.0,27.3,3.0,23.99999,11.0,23.0,2.602975,1.0
1,1.0,2.0,1.0,14.40754,10.20757,0.3085001,8.307555,27.0,27.3,3.0,23.49999,11.0,23.0,2.703272,1.0
1,1.0,2.0,2.0,13.90754,10.70757,0.3085001,0.3085001,27.0,27.3,3.0,22.99998,11.0,23.0,2.804384,1.0
1,1.0,2.0,2.0,13.40754,11.20757,0.3085001,0.3085001,27.0,27.3,3.0,22.49998,11.0,23.0,2.903645,1.0
1,1.0,2.0,2.0,12.90753,11.70757,0.3085001,0.3085,27.0,27.3,3.0,21.99998,11.0,23.0,3.001705,1.0
1,1.0,2.0,2.0,12.40753,12.20758,0.3085001,0.3085001,27.0,27.3,3.0,21.49998,11.0,23.0,3.103003,1.0
1,1.0,2.0,2.0,11.90753,12.70758,0.3085001,0.3085001,27.0,27.3,3.0,20.99998,11.0,23.0,3.200443,1.0
1,1.0,2.0,2.0,11.40753,13.20758,0.3085001,0.3085001,27.0,27.3,3.0,20.49998,11.0,23.0,3.301631,1.0
1,1.0,2.0,2.0,10.90753,13.70758,0.3085001,0.3085001,27.0,27.3,3.0,19.99997,11.0,23.0,3.403704,1.0
1,1.0,1.0,5.0,10.50753,14.10758,2.307555,6.808481,27.0,27.3,3.0,19.49997,11.0,23.0,3.502324,4.0
2,2.0,1.0,1.0,0.5084723,0.1085279,2.707557,7.907554,27.0,27.3,3.0,18.99997,11.0,23.0,3.600544,4.0
2,2.0,1.0,1.0,0.5084723,0.1085279,3.207558,7.407551,27.0,27.3,3.0,18.49997,11.0,23.0,3.702721,4.0
2,2.0,1.0,6.0,0.5084723,0.1085279,3.70756,5.257745,27.0,27.3,3.0,17.99997,11.0,23.0,3.803226,4.0
2,2.0,1.0,6.0,0.5084723,0.1085279,4.207562,4.757743,27.0,27.3,3.0,17.49996,11.0,23.0,3.902865,4.0
2,2.0,1.0,6.0,0.5084723,0.1085279,4.707564,4.25774,27.0,27.3,3.0,16.99996,11.0,23.0,4.003465,4.0
2,2.0,1.0,6.0,0.5084723,0.1085279,5.207566,3.757738,27.0,27.3,3.0,16.99996,11.0,23.0,4.102527,4.0
2,2.0,1.0,6.0,0.5084723,0.1085279,5.707566,3.25774,27.0,27.3,3.0,16.99996,11.0,23.0,4.203605,4.0
1,2.0,1.0,0.0,10.50753,0.1085279,6.207565,0.0,27.0,27.3,3.0,16.99996,11.0,23.0,4.300754,4.0
2,2.0,1.0,0.0,0.5084723,0.1085279,6.707564,0.0,27.0,27.3,3.0,16.99996,11.0,23.0,4.404218,4.0
2,2.0,1.0,6.0,0.5084723,0.1085279,7.207564,1.757741,27.0,27.3,3.0,16.99996,11.0,23.0,4.500627,4.0
2,2.0,1.0,6.0,0.5084723,0.1085279,7.707564,1.257741,27.0,27.3,3.0,16.99996,11.0,23.0,4.603665,4.0
2,2.0,1.0,1.0,0.5084723,4.108528,8.207563,2.407547,27.0,27.3,100.0,100.0,11.0,23.0,4.702968,4.0
2,1.0,1.0,1.0,0.5084723,1.108528,8.707562,1.907547,27.0,27.3,100.0,100.0,11.0,23.0,4.803293,4.0
2,1.0,1.0,1.0,0.5084723,1.108528,9.207562,1.407548,27.0,27.3,100.0,100.0,11.0,23.0,4.901116,4.0
2,1.0,1.0,1.0,0.4084719,1.208528,9.507562,1.107548,27.0,27.3,100.0,100.0,11.0,23.0,5.000781,1.0
2,1.0,1.0,1.0,0.008470294,1.60853,9.507562,1.107548,27.0,27.3,100.0,100.0,11.0,23.0,5.102974,1.0
2,1.0,1.0,1.0,0.008470294,1.60853,9.507562,1.107548,27.0,27.3,100.0,100.0,11.0,23.0,5.200871,1.0
2,1.0,1.0,1.0,0.008470294,1.60853,9.507562,1.107548,27.0,27.3,100.0,100.0,11.0,23.0,5.303052,4.0
2,1.0,1.0,1.0,0.008470294,1.60853,9.507562,1.107548,27.0,27.3,100.0,100.0,11.0,23.0,5.401543,4.0
2,1.0,1.0,1.0,0.008470294,1.60853,9.507562,1.107548,27.0,27.3,100.0,100.0,11.0,23.0,5.50221,4.0
2,1.0,1.0,1.0,0.008470294,1.60853,9.707562,0.9075482,27.0,27.3,100.0,100.0,11.0,23.0,5.60391,4.0
1,1.0,1.0,1.0,10.00753,1.60853,10.20756,0.4075488,27.0,27.3,100.0,100.0,11.0,23.0,5.703623,4.0
1,1.0,1.0,1.0,10.00753,1.60853,10.60756,0.007549165,27.0,27.3,100.0,100.0,11.0,23.0,5.80133,4.0
1,1.0,2.0,1.0,9.707524,1.908531,0.608506,0.007549165,27.0,27.3,100.0,100.0,11.0,23.0,5.902036,1.0
1,1.0,2.0,1.0,9.207522,2.408533,0.608506,0.007549165,27.0,27.3,100.0,100.0,11.0,23.0,6.002508,1.0
1,1.0,2.0,1.0,8.70752,2.908535,0.608506,0.007549165,27.3,27.3,100.0,100.0,11.0,23.0,6.104518,1.0
1,1.0,2.0,1.0,8.207519,3.408537,0.608506,0.007549165,27.3,27.3,100.0,100.0,11.0,23.0,6.201645,1.0
1,1.0,2.0,1.0,7.707517,3.908538,0.608506,0.007549165,27.3,27.3,100.0,100.0,11.0,23.0,6.30133,1.0
1,1.0,2.0,1.0,7.207515,4.40854,0.608506,0.007549165,27.3,27.3,100.0,100.0,11.0,23.0,6.401222,1.0
1,1.0,2.0,1.0,6.707512,4.908542,0.608506,0.007549165,27.3,27.3,100.0,100.0,11.0,23.0,6.50418,1.0
1,1.0,2.0,1.0,6.20751,5.408544,0.608506,0.007549165,27.3,27.3,100.0,100.0,11.0,23.0,6.602979,1.0
1,1.0,2.0,1.0,5.707509,5.908546,0.608506,0.007549165,27.3,27.3,100.0,100.0,11.0,23.0,6.702922,1.0
1,1.0,2.0,1.0,5.207507,6.408548,0.608506,0.007549165,27.3,27.3,100.0,100.0,11.0,23.0,6.800115,1.0
1,1.0,2.0,1.0,4.707505,6.90855,0.608506,0.007549165,27.3,27.3,100.0,100.0,11.0,23.0,6.903077,1.0
1,1.0,2.0,1.0,4.207503,7.408552,0.608506,0.007549165,27.3,27.3,100.0,100.0,11.0,23.0,7.001972,1.0
1,1.0,2.0,1.0,3.707501,7.908555,0.608506,0.007549165,27.3,27.3,100.0,100.0,11.0,23.0,7.100307,1.0
1,1.0,2.0,1.0,3.2075,8.408556,0.608506,0.007549165,27.3,27.3,100.0,100.0,11.0,23.0,7.202265,1.0
1,1.0,2.0,1.0,2.707498,8.908558,0.608506,0.007549165,27.3,27.3,100.0,100.0,11.0,23.0,7.30259,1.0
1,1.0,2.0,1.0,2.207496,9.40856,0.608506,0.007549165,27.3,27.3,100.0,100.0,11.0,23.0,7.40462,1.0
1,1.0,2.0,1.0,1.707494,9.908562,0.608506,0.007549165,27.3,27.3,100.0,100.0,11.0,23.0,7.50218,1.0
1,1.0,2.0,1.0,1.207492,10.40856,0.608506,0.007549165,27.3,27.3,100.0,100.0,11.0,23.0,7.603871,1.0
1,1.0,2.0,1.0,0.7074898,10.90857,0.608506,0.007549165,27.3,27.3,100.0,100.0,11.0,23.0,7.702662,1.0
1,1.0,0.0,1.0,0.3074883,11.30857,0.0,0.007549165,27.3,27.3,100.0,100.0,11.0,23.0,7.802101,3.0
1,1.0,0.0,1.0,0.3074883,11.30857,0.0,0.5075487,27.3,27.3,100.0,100.0,11.0,23.0,7.902925,3.0
1,2.0,0.0,1.0,0.3074883,0.3085668,0.0,1.007548,27.3,27.3,100.0,100.0,11.0,23.0,8.001394,3.0
1,2.0,0.0,1.0,0.3074883,0.3085668,0.0,1.507548,27.3,27.3,100.0,100.0,11.0,23.0,8.10376,3.0
1,2.0,0.0,1.0,0.3074883,0.3085668,0.0,2.007547,27.3,27.3,100.0,100.0,11.0,23.0,8.203097,3.0
1,2.0,0.0,1.0,0.3074883,0.3085668,0.0,2.507547,27.3,27.3,100.0,100.0,11.0,23.0,8.302111,3.0
1,2.0,0.0,1.0,0.3074883,0.3085668,0.0,3.007546,27.3,27.3,100.0,100.0,11.0,23.0,8.402506,3.0
1,2.0,6.0,1.0,0.3074883,0.3085668,19.75776,3.507546,27.3,27.3,100.0,100.0,11.0,23.0,8.503174,3.0
1,2.0,6.0,1.0,0.3074883,10.30857,19.25776,4.007545,27.3,27.3,100.0,100.0,11.0,23.0,8.601141,3.0
1,2.0,6.0,1.0,0.3074883,10.30857,18.75776,4.507544,27.3,27.3,100.0,100.0,11.0,23.0,8.70366,3.0
1,2.0,6.0,1.0,0.3074883,0.3085668,18.25776,5.007545,27.3,27.3,100.0,100.0,11.0,23.0,8.801572,3.0
1,2.0,6.0,1.0,0.3074883,0.3085668,17.75776,5.507544,27.3,27.3,100.0,100.0,11.0,23.0,8.902596,3.0
1,2.0,6.0,1.0,0.3074883,0.3085668,17.25776,6.007546,27.3,27.3,100.0,100.0,11.0,23.0,9.001283,3.0
1,2.0,0.0,1.0,0.3074883,0.3085668,0.0,6.507548,27.3,27.3,100.0,100.0,11.0,23.0,9.105361,3.0
1,2.0,0.0,1.0,0.3074883,0.3085668,0.0,7.00755,27.3,27.3,100.0,100.0,11.0,23.0,9.201535,3.0
1,2.0,0.0,1.0,0.3074883,0.3085668,0.0,7.507552,27.3,27.3,100.0,100.0,11.0,23.0,9.301517,3.0
1,0.0,0.0,1.0,0.3074883,0.0,0.0,8.007553,27.3,27.3,100.0,100.0,11.0,23.0,9.400414,3.0
1,0.0,0.0,1.0,0.3074883,0.0,0.0,8.507556,27.3,27.3,100.0,100.0,11.0,23.0,9.501178,3.0
1,2.0,0.0,1.0,0.3074883,0.3085668,0.0,9.007558,27.3,27.3,100.0,100.0,11.0,23.0,9.603442,3.0
1,2.0,0.0,1.0,0.3074883,0.3085668,0.0,9.50756,27.3,27.3,100.0,100.0,11.0,23.0,9.704478,3.0
